,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
0004,-0.7535644565360151,-1.7538871793675683,-0.6249899601612999,0.44699522444566736,-0.48833446717185663,0.23775265851398908,-0.07834922564419983,0.12323677535204794,-0.03730861304198193,0.0021851251712203226,-0.11585285033280424,3.461385775444816e-15,3.7378869051312606e-17,1.5525407138866963e-17,9.63464208862125e-18,1.363031021959569e-17,0.0
0010,1.1279468743451369,-0.5421986187872339,-0.3824223816036388,-0.3261361138204059,0.21416736297679087,-1.6211547578245649,-0.046535321674307836,0.2813764898063153,0.4450953980239972,-0.25577065616724165,-0.19117732775109497,-3.8497356580395314e-17,-3.698503488898713e-18,-1.0254651221461927e-16,-8.092314675537732e-18,-5.755028869866004e-18,0.0
0038,-8.838076982039166,0.1434345916753437,6.560627034024492,-0.5379734118894175,1.8586530905257062,1.937477127362242,2.3850526458577193,-0.9360621268124895,-0.37483874158512676,-1.1706623532143055,-0.3116562686956973,8.300586283805826e-17,-1.3804352950926126e-17,1.2389802222191207e-17,7.746925658341898e-18,-8.245348236783497e-18,-0.0
0039,-2.5341254288575525,0.3826594299147067,0.5547581529312242,-0.6803910794139904,0.19273616227534773,0.3270556565553192,-0.08405240061635481,-0.0004156092406070433,0.31236037621958807,-0.2994089729473385,-0.008443714291731469,1.9115927694627312e-17,-1.3207035755032206e-16,2.1531188361913256e-17,-6.348215648119374e-18,-4.195544267706215e-18,0.0
0011,4.596762481659637,0.5459519837060463,-0.09366527463710175,1.7952206643907036,4.6903671341576905,0.44269367745474264,-1.0711056976653357,0.5331589296833286,1.0764838794175373,-0.6029244208373579,-0.07928057814389014,3.3255007982509536e-17,9.0453733922966e-17,-1.5565455135218406e-17,7.545060763806841e-18,1.0807068337856353e-19,0.0
0005,-0.6882416847483165,-0.3966482950061564,-0.8936960466902235,-0.5401797958455158,-0.18582324620189372,0.03970569353903508,-0.082728930308019,-0.0017825766813027056,0.04331177215720303,0.010045115691134504,-0.017488568854615014,2.0719863998996546e-16,1.447330223652289e-16,4.716669014389216e-18,-6.367269130307365e-17,-1.9275481883771637e-16,0.0
0013,-0.6150582368070575,-0.22487067087627285,0.7380188943162005,-1.7236079288617938,-1.01797765298511,2.2462217695962776,-1.0091535981901998,0.36545738263207295,-0.04471493688146351,0.08591302930808005,0.22654422173091537,1.1676929474650297e-17,-2.4417806350079318e-17,-2.976977221839586e-17,-5.7005267853181065e-18,6.306805173791674e-19,0.0
0007,-0.691983675030842,-0.9622151683746146,-0.8507695151410184,-0.012049095274585,0.08249956083228079,0.2232387840375435,-0.1879213644875365,0.06150592280128452,-0.026637436896642244,0.035581787031443955,-0.06218230886590367,-9.088003730263484e-17,2.7773460435965815e-17,-2.094081135623795e-17,-9.126393107821752e-18,3.979882447366726e-18,-0.0
0006,3.2355799225498068,0.5087147781892886,-0.4433464384626501,-1.2240457790787904,0.2726584189342391,-0.07262766118374063,1.3465958246773784,1.20602408884302,0.0754761347991409,-0.3427349821254816,-0.07402393372174264,-1.1251950640261396e-16,-1.3833176163828718e-17,4.4306697525308016e-16,6.40234034569573e-17,-1.0002745371253922e-17,0.0
0012,-0.7045723776952411,-0.7359580160965083,-0.8265195250579912,-0.293386040772722,-0.2614510514443822,0.08921743478277301,-0.081634004142064,0.029472261327033678,0.023156675857406557,0.008080118061156097,-0.042079639224162003,-5.020847700584798e-17,-5.95853777183066e-17,-1.1779796785648832e-16,2.840114111299836e-16,-4.430229480445464e-17,-0.0
0016,0.8214258832523242,0.5152644696711246,1.180614688647124,2.2978652245089823,-0.8667088642441134,-0.14572147534215765,-0.7192193339760242,-0.8789118299779207,-0.19308462590099668,-0.02508073493371654,0.6101088960071164,3.6603117076980364e-17,-7.657958506700815e-18,4.4408753920352965e-17,1.0281882561218078e-17,-5.796618057083381e-18,-0.0
0002,-0.6882416847483164,-0.3966482950061553,-0.8936960466902237,-0.5401797958455196,-0.18582324620189206,0.03970569353903374,-0.08272893030802038,-0.0017825766813035827,0.04331177215720286,0.010045115691133701,-0.01748856885461448,-6.240732326599555e-17,-3.624208982594476e-18,2.450309683666115e-18,-1.6194220139290588e-18,1.5174630579896578e-18,-0.0
0003,-1.7526730588341073,-0.13918340226426826,1.1046673733341883,-1.5148733182119947,-1.8969837105011569,1.0683525918940737,-0.16560142338547662,0.20829371205278013,0.37690407786708574,-0.0009557701298397947,0.13834003840960138,-2.4007583509938795e-16,5.733330407927628e-16,4.307264525145355e-19,2.863253081687058e-17,2.994959526558497e-17,0.0
