,Free recall (immediate),Free recall (delayed),Naturalistic recall (immediate),Naturalistic recall (delayed),Foreign language flashcards (immediate),Foreign language flashcards (delayed),Spatial learning (intercept),Spatial learning (slope)
0042,0.640625,0.375,0.9340629191873356,0.9815688232259748,,,0.5298288436718316,0.7671302687162254
0043,0.921875,0.828125,0.833408825689668,0.7496016258218002,,,0.659981720717113,0.7572195701790934
0044,0.5625,0.296875,0.8887251519685853,0.7431392357221829,,,0.7302721076736485,0.5984807062128809
0045,0.03125,0.0,,,0.1,0.1,0.7054605657851614,0.6007112683608502
0046,0.25,0.0,0.8454439760173488,,0.3,0.6,0.8283509677641373,0.3080337257708957
0047,0.546875,0.265625,0.9110566069502972,0.7505232624806534,0.7,0.8,0.723989413745412,0.5978212557881575
0048,0.515625,0.265625,0.7939389123401963,0.723032213578888,,,0.5019017464725076,0.8319723680652726
0049,0.453125,0.1875,0.934718323911127,0.9060007924970456,0.5,0.8,0.5379376869732256,0.8099007769884244
0050,0.65625,0.296875,0.9214554524632546,0.945591501035279,0.8,0.9,0.9040265076466524,0.3076643126537008
0051,0.734375,0.5,0.834911945213515,0.9315328582827792,,,0.9542883955600032,0.108836131543683
0052,0.640625,0.46875,0.9579838578009666,0.9319873565894036,,,0.6342950127497516,0.631933800056403
0053,0.578125,0.109375,0.8062604391926478,0.615533700995755,,0.9,0.883722279868178,0.3225713803415672
0054,0.8125,0.421875,0.7652957710039925,0.9715686304528812,,,0.8024592769808071,0.3961108185057224
0055,0.171875,0.046875,0.8062484349917534,,0.3,0.3,0.6862329066975362,0.2791692746071479
0056,0.375,0.234375,0.9125324912213936,0.930231143315637,0.9,,0.7661913079398571,0.4737087684693059
0057,0.59375,0.375,0.8005293562972648,0.8211903134903108,,,0.7862324051723881,0.5950195329240736
0058,0.5,0.328125,0.8081653432626381,0.9116254171898572,0.6,0.5,0.7180999188346292,0.4172684887680505
0059,0.625,0.40625,0.8314341421408622,0.7273492018673721,0.5,0.7,0.938334911362956,0.2060661183309035
